state,era,use_group,properties,avg_sqft,median_value
GA,1960-79,INDUSTRIAL,26697,32390,418254
GA,2000-09,INDUSTRIAL,20697,36536,612768
GA,pre-1960,INDUSTRIAL,14959,16090,117825
GA,2010+,INDUSTRIAL,10121,69690,853034
HI,unknown,Commercial,16865,877,371359
HI,1960-79,Commercial,14176,12482,827428
HI,1980-99,Commercial,13666,11724,630777
HI,unknown,INDUSTRIAL,13179,245129,
HI,pre-1960,Commercial,8574,6242,1107440
HI,1960-79,INDUSTRIAL,3474,13868,2660473
HI,1980-99,INDUSTRIAL,3427,12209,1850133
HI,2000-09,Commercial,3107,15617,2157916
HI,2010+,Commercial,2990,14752,2217595
HI,pre-1960,INDUSTRIAL,2478,8903,845788
HI,2000-09,INDUSTRIAL,1282,17733,2115533
HI,2010+,INDUSTRIAL,838,17502,3250552
ID,unknown,Commercial,74159,5075,163011
ID,pre-1960,Commercial,16841,6199,301375
ID,1980-99,Commercial,16552,14088,678652
ID,2000-09,Commercial,15307,9519,660562
ID,1960-79,Commercial,13425,9611,463748
ID,2010+,Commercial,9713,13946,853294
ID,unknown,INDUSTRIAL,7083,23540,220343
ID,1980-99,INDUSTRIAL,3095,12871,523455
ID,2000-09,INDUSTRIAL,2408,11305,648977
ID,1960-79,INDUSTRIAL,2177,12049,367930
ID,2010+,INDUSTRIAL,1817,17072,733715
ID,pre-1960,INDUSTRIAL,1425,9844,223804
IL,unknown,Commercial,418725,8606,78727
IL,pre-1960,Commercial,107671,9048,180915
IL,unknown,INDUSTRIAL,81156,54137,85489
IL,1980-99,Commercial,78044,19047,306578
IL,1960-79,Commercial,76166,16611,205762
IL,2000-09,Commercial,44263,13396,378113
IL,1960-79,INDUSTRIAL,32053,30664,390740
IL,1980-99,INDUSTRIAL,28345,36796,492004
IL,pre-1960,INDUSTRIAL,22008,34856,245820
IL,2000-09,INDUSTRIAL,12952,42247,332552
IL,2010+,Commercial,7699,16422,741205
IL,2010+,INDUSTRIAL,1511,52138,455738
IN,pre-1960,Commercial,110442,7387,86223
