state,era,use_group,properties,avg_sqft,median_value
WV,2010+,Commercial,139,1895,149011
WV,2010+,INDUSTRIAL,10,1411,61600
WI,unknown,Commercial,266558,12886,191784
WI,pre-1960,Commercial,38244,6857,200570
WI,unknown,INDUSTRIAL,19272,19164,613421
WI,1980-99,Commercial,18996,16270,638448
WI,1960-79,Commercial,18079,12688,433169
WI,2000-09,Commercial,8977,21189,951543
WI,pre-1960,INDUSTRIAL,3791,28258,242322
WI,2010+,Commercial,3355,32836,1787640
WI,1980-99,INDUSTRIAL,3024,29202,666778
WI,1960-79,INDUSTRIAL,2908,29515,466692
WI,2000-09,INDUSTRIAL,1041,30333,730162
WI,2010+,INDUSTRIAL,463,36501,808718
WY,unknown,Commercial,14226,1816,70454
WY,pre-1960,Commercial,8618,4648,255808
WY,1980-99,Commercial,8087,15595,292616
WY,1960-79,Commercial,7236,7665,323113
WY,2000-09,Commercial,4543,13631,619441
WY,2010+,Commercial,2946,9299,842897
WY,1960-79,INDUSTRIAL,2688,14132,371165
WY,1980-99,INDUSTRIAL,2544,7351,366292
WY,2000-09,INDUSTRIAL,2459,13913,486180
WY,unknown,INDUSTRIAL,2031,10500,91601
WY,2010+,INDUSTRIAL,1571,9588,488296
WY,pre-1960,INDUSTRIAL,1145,6858,204052
